case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
402964,multi,62365,MN,Wright,45.25749969,-93.78839874,92600,20220310,4,Wright Kirby 1-5 (CSG),2019,MISO,PV,c-si,single-axis,180,,,5,7,greenfield,non-agrivoltaic,0.142344
402893,multi,62210,MN,Dakota,44.54199982,-92.97170258,93358,20220313,4,Felton (CSG) PV1-5,2019,MISO,PV,c-si,fixed-tilt,180,0,,5,6.5,greenfield,non-agrivoltaic,0.0038591
402892,multi,62209,MN,Dakota,44.52709961,-92.97180176,93795,20220313,4,Randolph (CSG) PV1-5,2019,MISO,PV,c-si,fixed-tilt,180,0,,5,6.5,greenfield,non-agrivoltaic,-0.0036663
402796,single,62062,MN,Isanti,45.45849991,-93.2723999,123941,20220401,4,Athens MN CONX,2018,MISO,PV,c-si,fixed-tilt,180,,,6.62,8.8,greenfield,non-agrivoltaic,0.0358054
402774,single,62037,MN,Winona,44.11489868,-91.79129791,89591,20210616,4,Rollingstone Holdco (CSG),2019,MISO,PV,c-si,fixed-tilt,180,30,,4.8,7,greenfield,non-agrivoltaic,0.201243
402770,multi,62031,MN,Sherburne,45.49509811,-94.11779785,89384,20201012,4,Nautilus Saint Cloud Solar (CSG),2019,MISO,PV,c-si,fixed-tilt,180,20,,5,6.8,greenfield,non-agrivoltaic,0.153533
402724,multi,61971,MN,Hennepin,45.09749985,-93.64530182,94364,20200906,4,Corcoran (CSG),2019,MISO,PV,c-si,fixed-tilt,180,30,,5,7,greenfield,non-agrivoltaic,0.109561
402685,multi,61919,MN,Goodhue,44.50630188,-92.35980225,78881,20180917,4,"Frontenac Holdco, LLC, (CSG)",2019,MISO,PV,c-si,fixed-tilt,180,0,,5,7.2,greenfield,non-agrivoltaic,0.506166
402651,single,61870,MN,Yellow Medicine,44.89659882,-95.69439697,139104,20211018,4,"Montevideo Solar, LLC, (CSG)",2019,MISO,PV,c-si,single-axis,180,30,,5,7.5,greenfield,non-agrivoltaic,-0.360546
401778,single,60534,MN,Carver,44.79330063,-93.90110016,216546,20220620,4,West Waconia Solar,2016,MISO,PV,c-si,single-axis,180,16,,8.5,12.2,greenfield,es,-0.304346
401777,single,60533,MN,Rice,44.27429962,-93.3105011,145797,20220609,4,West Faribault Solar,2016,MISO,PV,c-si,single-axis,180,0,,5.5,7.9,greenfield,es,-0.354319
401776,single,60532,MN,Waseca,44.0923996,-93.53309631,284130,20220319,4,Waseca Solar,2016,MISO,PV,c-si,single-axis,180,25,,10,15.9,greenfield,es,-0.313133
